[61, 101, '0x112a718', '0x112a708', '0', 'count_190']
[62, 101, '0x112a6d4', '0x112a6d4', '0', 'count_204']
[63, 101, '0x112a6d4', '-1', '0', 'insert_key_500']
[64, 101, '0x112a718', '0x112a708', '0', 'insert_key_517']
[65, 101, '0x112a728', '-1', '0', 'insert_key_517']
[66, 101, '0x112a700', '0x112a6f0', '0', 'insert_key_525']
[67, 101, '0x112a708', '0x112a6e0', '0', 'insert_key_526']
[68, 101, '0x112a718', '0x112a6e0', '0', 'insert_key_526']
[69, 101, '0x112a700', '0x112a6e0', '0', 'insert_key_527']
[70, 102, '0x112a700', '-1', '0', 'insert_key_538']
[71, 101, '0x112a710', '0x112a6f8', '0', 'insert_key_527']
[72, 101, '0x112a6f0', '0x112a6f0', '0', 'insert_key_525']
[73, 101, '0x112a6f8', '0x112a6e0', '0', 'insert_key_526']
[74, 101, '0x112a708', '0x112a6e0', '0', 'insert_key_526']
[75, 101, '0x112a6f0', '0x112a6e0', '0', 'insert_key_527']
[76, 101, '0x112a700', '0x112a6f8', '0', 'insert_key_527']
[77, 101, '0x112a6e0', '0x112a6f0', '0', 'insert_key_525']
[78, 101, '0x112a6e8', '0x112a6e0', '0', 'insert_key_526']
[79, 101, '0x112a6f8', '0x112a6e0', '0', 'insert_key_526']
[80, 101, '0x112a6e0', '0x112a6e0', '0', 'insert_key_527']
[81, 101, '0x112a6f0', '0x112a6f8', '0', 'insert_key_527']
[82, 101, '0x112a6c0', '-1', '0', 'insert_key_555']
[83, 101, '0x112a6e8', '-1', '0', 'insert_key_555']
[84, 101, '0x112a6e0', '0x112a6e8', '0', 'insert_key_556']
[85, 101, '0x112a6e8', '0x112a6e0', '0', 'insert_key_557']
[86, 101, '0x112a6d6', '-1', '0', 'insert_key_564']
[87, 101, '0x112a6d4', '0x112a6d4', '0', 'count_187']
[88, 101, '0x112a6d6', '0x112a6d4', '0', 'count_188']
[89, 101, '0x112a728', '0x112a708', '0', 'count_190']
[90, 101, '0x112a6d4', '0x112a6d4', '0', 'count_204']
[91, 101, '0x112a6d4', '-1', '0', 'insert_key_500']
[92, 101, '0x112a728', '0x112a708', '0', 'insert_key_517']
[93, 101, '0x112a738', '-1', '0', 'insert_key_517']
[94, 101, '0x112a710', '0x112a6f0', '0', 'insert_key_525']
[95, 101, '0x112a718', '0x112a6e0', '0', 'insert_key_526']
[96, 101, '0x112a728', '0x112a6e0', '0', 'insert_key_526']
[97, 101, '0x112a710', '0x112a6e0', '0', 'insert_key_527']
[98, 101, '0x112a720', '0x112a6f8', '0', 'insert_key_527']
[99, 101, '0x112a700', '0x112a6f0', '0', 'insert_key_525']
[100, 101, '0x112a708', '0x112a6e0', '0', 'insert_key_526']
[101, 101, '0x112a718', '0x112a6e0', '0', 'insert_key_526']
[102, 101, '0x112a700', '0x112a6e0', '0', 'insert_key_527']
[103, 101, '0x112a710', '0x112a6f8', '0', 'insert_key_527']
[104, 101, '0x112a6f0', '0x112a6f0', '0', 'insert_key_525']
[105, 101, '0x112a6f8', '0x112a6e0', '0', 'insert_key_526']
[106, 101, '0x112a708', '0x112a6e0', '0', 'insert_key_526']
[107, 101, '0x112a6f0', '0x112a6e0', '0', 'insert_key_527']
[108, 101, '0x112a700', '0x112a6f8', '0', 'insert_key_527']
[109, 101, '0x112a6e0', '0x112a6f0', '0', 'insert_key_525']
[110, 101, '0x112a6e8', '0x112a6e0', '0', 'insert_key_544']
[111, 101, '0x112a6f8', '0x112a6e0', '0', 'insert_key_544']
[112, 101, '0x112a6f0', '0x112a708', '0', 'insert_key_545']
[113, 101, '0x112a6f8', '0x112a700', '0', 'insert_key_546']
[114, 101, '0x112a6d6', '-1', '0', 'insert_key_564']
[115, 101, '0x112a6d4', '0x112a6d4', '0', 'count_187']
[116, 102, '0x112a700', '-1', '0', 'insert_key_538']
[117, 101, '0x112a6d6', '0x112a6d4', '0', 'count_188']
[118, 101, '0x112a738', '0x112a708', '0', 'count_190']
[119, 101, '0x112a6d4', '0x112a6d4', '0', 'count_204']
[120, 101, '0x112a6d4', '-1', '0', 'insert_key_500']
[121, 101, '0x112a738', '0x112a708', '0', 'insert_key_517']
[122, 101, '0x112a748', '-1', '0', 'insert_key_517']
[123, 101, '0x112a720', '0x112a6f0', '0', 'insert_key_525']
[124, 101, '0x112a728', '0x112a6e0', '0', 'insert_key_526']
[125, 101, '0x112a738', '0x112a6e0', '0', 'insert_key_526']
[126, 101, '0x112a720', '0x112a6e0', '0', 'insert_key_527']
[127, 101, '0x112a730', '0x112a6f8', '0', 'insert_key_527']
[128, 101, '0x112a710', '0x112a6f0', '0', 'insert_key_525']
[129, 101, '0x112a718', '0x112a6e0', '0', 'insert_key_526']
[130, 101, '0x112a728', '0x112a6e0', '0', 'insert_key_526']
[131, 101, '0x112a710', '0x112a6e0', '0', 'insert_key_527']
[132, 101, '0x112a720', '0x112a6f8', '0', 'insert_key_527']
[133, 101, '0x112a700', '0x112a6f0', '0', 'insert_key_525']
[134, 101, '0x112a708', '0x112a6e0', '0', 'insert_key_526']
[135, 101, '0x112a718', '0x112a6e0', '0', 'insert_key_526']
[136, 101, '0x112a700', '0x112a6e0', '0', 'insert_key_527']
[137, 101, '0x112a710', '0x112a6f8', '0', 'insert_key_527']
[138, 101, '0x112a6f0', '0x112a6f0', '0', 'insert_key_525']
[139, 101, '0x112a6f8', '0x112a6e0', '0', 'insert_key_526']
[140, 101, '0x112a708', '0x112a6e0', '0', 'insert_key_526']
[141, 101, '0x112a6f0', '0x112a6e0', '0', 'insert_key_527']
[142, 101, '0x112a700', '0x112a6f8', '0', 'insert_key_527']
[143, 101, '0x112a6e0', '0x112a6f0', '0', 'insert_key_525']
[144, 101, '0x112a6e8', '0x112a6e0', '0', 'insert_key_544']
[145, 101, '0x112a6f8', '0x112a6e0', '0', 'insert_key_544']
[146, 101, '0x112a6f0', '0x112a708', '0', 'insert_key_545']
[147, 101, '0x112a6f8', '0x112a700', '0', 'insert_key_546']
[148, 101, '0x112a6d6', '-1', '0', 'insert_key_564']
[149, 101, '0x112a6d4', '0x112a6d4', '0', 'count_187']
[150, 103, '0', '-1', '0', 'insert_key_507_x']
[151, 101, '0x112a6d6', '0x112a6d4', '0', 'count_188']
[152, 102, '0x112a740', '-1', '0', 'insert_key_538']
[153, 101, '0x112a748', '0x112a708', '0', 'count_190']
[154, 101, '0x112a6d4', '0x112a6d4', '0', 'count_204']
[155, 101, '0x112a6d4', '-1', '0', 'insert_key_500']
[156, 101, '0x112a748', '0x112a708', '0', 'insert_key_517']
[157, 101, '0x112a758', '-1', '0', 'insert_key_517']
[158, 101, '0x112a730', '0x112a6f0', '0', 'insert_key_525']
