['Lock_0', 105, 'M1', -1, '0', 'insert_117_x']
[2, 101, '0x1a1c850', '-1', '0', 'insert_117']
['Fence_Lock_0', 103, 0, -1, '0', 'insert_117_x']
['UnLock_0', 106, 'M1', -1, '0', 'insert_117_x']
[3, 102, '0x1a1c850', '-1', '0', 'insert_117_x']
[4, 101, '0x1a1c854', '-1', '1', 'insert_117']
['Lock_1', 105, 'M1', -1, '1', 'get_152_x']
[5, 101, '0x1a1c854', '0x1a1c850', '1', 'get_152']
['Fence_Lock_1', 103, 0, -1, '1', 'get_152_x']
['UnLock_1', 106, 'M1', -1, '1', 'get_152_x']
[6, 102, '0x1a1c854', '-1', '1', 'get_152_x']
[7, 101, '0x1a1c850', '0x1a1c850', '0', 'get_152']
[8, 101, '0x1a1c858', '-1', '2', 'insert_117']
[9, 101, '0x1a1c85c', '-1', '3', 'insert_117']
[10, 101, '0x1a1c860', '-1', '0', 'insert_117']
[11, 103, '0', '-1', '0', 'insert_117_x']
[12, 101, '0x1a1c864', '-1', '1', 'insert_117']
[13, 103, '0', '-1', '1', 'get_152_x']
[14, 101, '0x1a1c864', '0x1a1c850', '2', 'get_152']
[15, 101, '0x1a1c864', '0x1a1c850', '3', 'get_152']
[16, 101, '0x1a1c868', '-1', '2', 'insert_117']
[17, 101, '0x1a1c86c', '-1', '3', 'insert_117']
['Lock_2', 105, 'M1', -1, '4', 'display_233_x']
[18, 101, '0x1a1c850', '0x1a1c850', '4', 'display_233']
['UnLock_2', 106, 'M1', -1, '4', 'display_233_x']
[19, 102, '0x1a1c850', '-1', '4', 'display_233_x']
[20, 101, '0x1a1c854', '0x1a1c850', '4', 'display_233']
[21, 101, '0x1a1c858', '0x1a1c850', '4', 'display_233']
[22, 101, '0x1a1c85c', '0x1a1c850', '4', 'display_233']
[23, 101, '0x1a1c860', '0x1a1c850', '4', 'display_233']
[24, 101, '0x1a1c864', '0x1a1c850', '4', 'display_233']
[25, 101, '0x1a1c868', '0x1a1c850', '4', 'display_233']
[26, 101, '0x1a1c86c', '0x1a1c850', '4', 'display_233']
[27, 103, '0', '-1', '4', 'display_233_x']
