['Lock_0', 105, 'M1', -1, '0', 'insert_107_x']
[83, 101, '0x7f1718001da0', '-1', '1', 'insert_107']
[84, 101, '0x7f1718001da8', '0x7f1710001f50', '1', 'insert_108']
['Lock_6', 105, 'M1', -1, '0', 'search_151_x']
[85, 101, '0x7f1718001da0', '0x7f1710001f50', '0', 'search_151']
['Fence_Lock_6', 103, 0, -1, '0', 'search_151_x']
['UnLock_6', 106, 'M1', -1, '0', 'search_151_x']
[86, 102, '0x7f1718001da0', '-1', '0', 'search_151_x']
['Lock_10', 105, 'M1', -1, '0', 'search_155_x']
[87, 101, '0x7f1718001da8', '0x7f1718001da0', '0', 'search_155']
['Fence_Lock_10', 103, 0, -1, '0', 'search_155_x']
['UnLock_10', 106, 'M1', -1, '0', 'search_155_x']
[88, 102, '0x7f1718001da8', '-1', '0', 'search_155_x']
[89, 101, '0x7f1718001d40', '0x7f1710001f50', '0', 'search_151']
[90, 101, '0x7f1718001d48', '0x7f1718001da0', '0', 'search_155']
[91, 101, '0x7f17100036e0', '0x7f1710001f50', '0', 'search_151']
['Lock_2', 105, 'M1', -1, '1', 'search_151_x']
[92, 101, '0x7f1718001da0', '0x7f1710001f50', '1', 'search_151']
['Fence_Lock_2', 103, 0, -1, '1', 'search_151_x']
['UnLock_2', 106, 'M1', -1, '1', 'search_151_x']
['Lock_14', 105, 'M1', -1, '0', 'insert_after_274_x']
[93, 101, '0x7f1718001da0', '0x7f1710001f50', '0', 'insert_after_274']
['Fence_Lock_14', 103, 0, -1, '0', 'insert_after_274_x']
['UnLock_14', 106, 'M1', -1, '0', 'insert_after_274_x']
[94, 102, '0x7f1718001da0', '-1', '0', 'insert_after_274_x']
['Lock_11', 105, 'M1', -1, '0', 'insert_after_282_x']
[95, 101, '0x7f1718001da8', '0x7f1718001da0', '0', 'insert_after_282']
['Fence_Lock_11', 103, 0, -1, '0', 'insert_after_282_x']
['UnLock_11', 106, 'M1', -1, '0', 'insert_after_282_x']
[96, 102, '0x7f1718001da8', '-1', '0', 'insert_after_282_x']
[97, 101, '0x7f1718001d40', '0x7f1710001f50', '0', 'insert_after_274']
[98, 103, '0', '-1', '0', 'search_151_x']
[99, 101, '0x7f1718001d48', '0x7f1718001da0', '0', 'insert_after_282']
