['Lock_2', 105, 'M1', -1, '0', 'newNode_56_x']
[87, 101, '0x1538260', '0x1538110', '0', 'set_insert_74']
[88, 101, '0x1538268', '0x1538110', '0', 'set_insert_78']
[89, 101, '0x1538110', '0x1538110', '0', 'set_insert_74']
[90, 101, '0x1538118', '0x1538110', '0', 'set_insert_78']
[91, 101, '0x1538508', '-1', '0', 'set_insert_83']
[92, 101, '0x1538500', '0x1538110', '0', 'set_insert_74']
[93, 101, '0x1538508', '0x1538110', '0', 'set_insert_78']
[94, 101, '0x15384a0', '0x1538110', '0', 'set_insert_74']
[95, 101, '0x15384a8', '0x1538110', '0', 'set_insert_78']
[96, 101, '0x1538440', '0x1538110', '0', 'set_insert_74']
[97, 103, '0', '-1', '0', 'set_insert_78_x']
[98, 101, '0x1538448', '0x1538110', '0', 'set_insert_78']
[99, 101, '0x15383e0', '0x1538110', '0', 'set_insert_74']
[100, 101, '0x15383e8', '0x1538110', '0', 'set_insert_78']
[101, 101, '0x1538380', '0x1538110', '0', 'set_insert_74']
[102, 101, '0x1538388', '0x1538110', '0', 'set_insert_78']
[103, 101, '0x1538320', '0x1538110', '0', 'set_insert_74']
[104, 101, '0x1538328', '0x1538110', '0', 'set_insert_78']
[105, 101, '0x15382c0', '0x1538110', '0', 'set_insert_74']
[106, 101, '0x15382c8', '0x1538110', '0', 'set_insert_78']
[107, 103, '0', '-1', '0', 'newNode_56_x']
[108, 101, '0x1538260', '0x1538110', '0', 'set_insert_74']
[109, 101, '0x1538268', '0x1538110', '0', 'set_insert_78']
[110, 101, '0x1538110', '0x1538110', '0', 'set_insert_74']
[111, 101, '0x1538118', '0x1538110', '0', 'set_insert_78']
[112, 101, '0x1538568', '-1', '0', 'set_insert_83']
['Lock_1', 105, 'M1', -1, '1', 'set_remove_96_x']
[113, 101, '0x1538560', '0x1538110', '1', 'set_remove_96']
['Fence_Lock_1', 103, 0, -1, '1', 'set_remove_96_x']
['UnLock_1', 106, 'M1', -1, '1', 'set_remove_96_x']
[114, 102, '0x1538560', '-1', '1', 'set_remove_96_x']
[115, 103, '0', '-1', '1', 'set_remove_96_x']
['Lock_4', 105, 'M1', -1, '1', 'set_remove_98_x']
[116, 101, '0x1538568', '0x1538268', '1', 'set_remove_98']
['Fence_Lock_4', 103, 0, -1, '1', 'set_remove_98_x']
['UnLock_4', 106, 'M1', -1, '1', 'set_remove_98_x']
[117, 102, '0x1538568', '-1', '1', 'set_remove_98_x']
[118, 101, '0x1538500', '0x1538110', '1', 'set_remove_96']
[119, 103, '0', '-1', '1', 'set_remove_98_x']
[120, 101, '0x1538508', '0x1538268', '1', 'set_remove_98']
[121, 101, '0x15384a0', '0x1538110', '1', 'set_remove_96']
[122, 101, '0x15384a8', '0x1538268', '1', 'set_remove_98']
[123, 101, '0x1538440', '0x1538110', '1', 'set_remove_96']
[124, 101, '0x1538448', '0x1538268', '1', 'set_remove_98']
[125, 101, '0x15383e0', '0x1538110', '1', 'set_remove_96']
[126, 101, '0x15383e8', '0x1538268', '1', 'set_remove_98']
[127, 101, '0x1538380', '0x1538110', '1', 'set_remove_96']
[128, 101, '0x1538388', '0x1538268', '1', 'set_remove_98']
[129, 101, '0x1538320', '0x1538110', '1', 'set_remove_96']
[130, 101, '0x1538328', '0x1538268', '1', 'set_remove_98']
[131, 101, '0x15382c0', '0x1538110', '1', 'set_remove_96']
[132, 101, '0x15382c8', '0x1538268', '1', 'set_remove_98']
[133, 101, '0x1538260', '0x1538110', '1', 'set_remove_96']
[134, 101, '0x1538268', '0x1538268', '1', 'set_remove_98']
[135, 101, '0x1538110', '0x1538110', '1', 'set_remove_96']
['Lock_8', 105, 'M1', -1, '1', 'set_remove_111_x']
[136, 101, '0x1538118', '0x1538268', '1', 'set_remove_111']
['Fence_Lock_8', 103, 0, -1, '1', 'set_remove_111_x']
['UnLock_8', 106, 'M1', -1, '1', 'set_remove_111_x']
[137, 102, '0x1538118', '-1', '1', 'set_remove_111_x']
[138, 101, '0x1538268', '-1', '1', 'set_remove_111']
[139, 101, '0x1538560', '0x1538110', '2', 'set_remove_96']
[140, 101, '0x1538568', '0x1538268', '2', 'set_remove_98']
[141, 101, '0x1538500', '0x1538110', '2', 'set_remove_96']
[142, 101, '0x1538508', '0x1538268', '2', 'set_remove_98']
[143, 101, '0x15384a0', '0x1538110', '2', 'set_remove_96']
[144, 101, '0x15384a8', '0x1538268', '2', 'set_remove_98']
[145, 101, '0x1538440', '0x1538110', '2', 'set_remove_96']
[146, 101, '0x1538448', '0x1538268', '2', 'set_remove_98']
[147, 101, '0x15383e0', '0x1538110', '2', 'set_remove_96']
[148, 101, '0x15383e8', '0x1538268', '2', 'set_remove_98']
[149, 101, '0x1538380', '0x1538110', '2', 'set_remove_96']
[150, 101, '0x1538388', '0x1538268', '2', 'set_remove_98']
[151, 101, '0x1538320', '0x1538110', '2', 'set_remove_96']
[152, 101, '0x1538328', '0x1538268', '2', 'set_remove_98']
[153, 101, '0x15382c0', '0x1538110', '2', 'set_remove_96']
[154, 101, '0x15382c8', '0x1538268', '2', 'set_remove_98']
[155, 101, '0x1538260', '0x1538110', '2', 'set_remove_96']
[156, 101, '0x1538268', '0x1538268', '2', 'set_remove_98']
['Lock_11', 105, 'M1', -1, '1', 'set_insert_74_x']
[157, 101, '0x1538560', '0x1538110', '1', 'set_insert_74']
['Fence_Lock_11', 103, 0, -1, '1', 'set_insert_74_x']
['UnLock_11', 106, 'M1', -1, '1', 'set_insert_74_x']
['Lock_5', 105, 'M1', -1, '1', 'set_insert_78_x']
[158, 101, '0x1538568', '0x1538110', '1', 'set_insert_78']
[159, 101, '0x1538500', '0x1538110', '1', 'set_insert_74']
[160, 101, '0x1538508', '0x1538110', '1', 'set_insert_78']
[161, 101, '0x15384a0', '0x1538110', '1', 'set_insert_74']
[162, 101, '0x15384a8', '0x1538110', '1', 'set_insert_78']
[163, 101, '0x1538440', '0x1538110', '1', 'set_insert_74']
[164, 101, '0x1538448', '0x1538110', '1', 'set_insert_78']
[165, 101, '0x15383e0', '0x1538110', '1', 'set_insert_74']
[166, 101, '0x15383e8', '0x1538110', '1', 'set_insert_78']
[167, 101, '0x1538380', '0x1538110', '1', 'set_insert_74']
[168, 101, '0x1538388', '0x1538110', '1', 'set_insert_78']
[169, 101, '0x1538320', '0x1538110', '1', 'set_insert_74']
[170, 101, '0x1538328', '0x1538110', '1', 'set_insert_78']
[171, 101, '0x15382c0', '0x1538110', '1', 'set_insert_74']
[172, 101, '0x15382c8', '0x1538110', '1', 'set_insert_78']
[173, 101, '0x1538260', '0x1538110', '1', 'set_insert_74']
[174, 101, '0x1538268', '0x1538110', '1', 'set_insert_78']
[175, 101, '0x1538118', '-1', '1', 'set_insert_83']
['Fence_Lock_5', 103, 0, -1, '1', 'set_insert_78_x']
['UnLock_5', 106, 'M1', -1, '1', 'set_insert_78_x']
[176, 101, '0x1538110', '0x1538110', '2', 'set_insert_74']
[177, 101, '0x1538110', '0x1538110', '2', 'set_remove_96']
[178, 101, '0x1538118', '0x1538268', '2', 'set_remove_98']
[179, 101, '0x1538560', '0x1538110', '2', 'set_remove_96']
[180, 101, '0x1538568', '0x1538268', '2', 'set_remove_98']
[181, 101, '0x1538500', '0x1538110', '2', 'set_remove_96']
[182, 101, '0x1538508', '0x1538268', '2', 'set_remove_98']
[183, 101, '0x15384a0', '0x1538110', '2', 'set_remove_96']
[184, 101, '0x15384a8', '0x1538268', '2', 'set_remove_98']
[185, 101, '0x1538440', '0x1538110', '2', 'set_remove_96']
[186, 101, '0x1538448', '0x1538268', '2', 'set_remove_98']
[187, 101, '0x15383e0', '0x1538110', '2', 'set_remove_96']
[188, 101, '0x15383e8', '0x1538268', '2', 'set_remove_98']
[189, 101, '0x1538380', '0x1538110', '2', 'set_remove_96']
[190, 101, '0x1538388', '0x1538268', '2', 'set_remove_98']
[191, 101, '0x1538320', '0x1538110', '2', 'set_remove_96']
[192, 101, '0x1538328', '0x1538268', '2', 'set_remove_98']
