[51, 101, '0x7f0818253088', '0x7f0818253088', '1', 'clht_put_381']
[52, 102, '0x7f081825d960', '-1', '1', 'clht_put_449']
[53, 101, '0x7f0818253090', '0x7f0818253090', '2', 'clht_hash_318']
[54, 101, '0x7f0818253088', '0x7f0818253088', '2', 'clht_put_381']
[55, 102, '0x7f081825dae0', '-1', '2', 'clht_put_449']
[56, 101, '0x7f0818253090', '0x7f0818253090', '2', 'clht_hash_318']
[57, 101, '0x7f0818253088', '0x7f0818253088', '2', 'clht_put_381']
[58, 102, '0x7f081825db20', '-1', '2', 'clht_put_449']
[59, 101, '0x7f0818253090', '0x7f0818253090', '1', 'clht_hash_318']
[60, 101, '0x7f0818253088', '0x7f0818253088', '1', 'clht_put_381']
[61, 102, '0x7f081825d9a0', '-1', '1', 'clht_put_449']
[62, 101, '0x7f0818253090', '0x7f0818253090', '1', 'clht_hash_318']
[63, 101, '0x7f0818253088', '0x7f0818253088', '1', 'clht_put_381']
[64, 102, '0x7f081825d9e0', '-1', '1', 'clht_put_449']
[65, 101, '0x7f0818253090', '0x7f0818253090', '2', 'clht_hash_318']
[66, 101, '0x7f0818253088', '0x7f0818253088', '2', 'clht_put_381']
[67, 102, '0x7f081825db60', '-1', '2', 'clht_put_449']
[68, 101, '0x7f0818253090', '0x7f0818253090', '1', 'clht_hash_318']
[69, 101, '0x7f0818253088', '0x7f0818253088', '1', 'clht_put_381']
[70, 102, '0x7f081825da20', '-1', '1', 'clht_put_449']
[71, 101, '0x7f0818253090', '0x7f0818253090', '2', 'clht_hash_318']
[72, 101, '0x7f0818253088', '0x7f0818253088', '2', 'clht_put_381']
[73, 102, '0x7f081825dba0', '-1', '2', 'clht_put_449']
[74, 101, '0x7f0818253090', '0x7f0818253090', '1', 'clht_hash_318']
[75, 101, '0x7f0818253088', '0x7f0818253088', '1', 'clht_put_381']
[76, 102, '0x7f081825da60', '-1', '1', 'clht_put_449']
[77, 101, '0x7f0818253098', '0x7f0818253098', '2', 'clht_gc_thread_init_51']
[78, 101, '0x7f0818253098', '0x7f0818253098', '1', 'clht_gc_thread_init_51']
[79, 101, '0x7f0818253090', '0x7f0818253090', '1', 'clht_hash_318']
['Lock_1', 105, 'M1', -1, '1', 'clht_get_327_x']
[80, 101, '0x7f0818253088', '0x7f0818253088', '1', 'clht_get_327']
['Fence_Lock_1', 103, 0, -1, '1', 'clht_get_327_x']
['UnLock_1', 106, 'M1', -1, '1', 'clht_get_327_x']
[81, 102, '0x7f0818253088', '-1', '1', 'clht_get_327_x']
[82, 101, '0x7f0818253090', '0x7f0818253090', '2', 'clht_hash_318']
[83, 101, '0x7f0818253088', '0x7f0818253088', '2', 'clht_get_327']
[84, 101, '0x7f0818253090', '0x7f0818253090', '1', 'clht_hash_318']
[85, 101, '0x7f0818253088', '0x7f0818253088', '1', 'clht_get_327']
