[91, 101, '0x7f18c8004340', '-1', 13, '73']
[92, 101, '0x7f18c8004348', '0x7f18c8002740', 13, '74']
[93, 101, '0x7f18c8004348', '-1', 13, '93']
[94, 101, '0x1412c20', '0x7f18d0002138', 13, '94']
[95, 101, '0x7f18d00023d0', '-1', 13, '73']
[96, 101, '0x7f18d00023d8', '0x7f18c8002740', 13, '74']
[97, 101, '0x7f18d00023d8', '-1', 13, '84']
[98, 101, '0x1412fb0', '0x7f18c8002748', 13, '85']
[99, 101, '0x7f18d0002430', '-1', 13, '73']
[100, 101, '0x7f18d0002438', '0x7f18c8002740', 13, '74']
[101, 101, '0x7f18d0002438', '-1', 13, '93']
[102, 101, '0x14129e0', '0x7f18d0002138', 13, '94']
[103, 101, '0x7f18c80043a0', '-1', 13, '73']
[104, 101, '0x7f18c80043a8', '0x7f18c8002740', 13, '74']
[105, 101, '0x7f18c80043a8', '-1', 13, '84']
[106, 101, '0x1412aa0', '0x7f18c8002748', 13, '85']
[107, 101, '0x7f18c8004400', '-1', 13, '73']
[108, 101, '0x7f18c8004408', '0x7f18c8002740', 13, '74']
[109, 101, '0x7f18c8004408', '-1', 13, '93']
[110, 101, '0x1412d10', '0x7f18d0002138', 13, '94']
[111, 101, '0x7f18d0002490', '-1', 13, '73']
[112, 101, '0x7f18d0002498', '0x7f18c8002740', 13, '74']
[113, 101, '0x7f18d0002498', '-1', 13, '84']
[114, 101, '0x1412c50', '0x7f18c8002748', 13, '85']
[115, 101, '0x7f18d00024f0', '-1', 13, '73']
[116, 101, '0x7f18d00024f8', '0x7f18c8002740', 13, '74']
[117, 101, '0x7f18d00024f8', '-1', 13, '93']
[118, 101, '0x1412ef0', '0x7f18d0002138', 13, '94']
[119, 101, '0x7f18d0002550', '-1', 13, '73']
[120, 101, '0x7f18d0002558', '0x7f18c8002740', 13, '74']
[121, 101, '0x7f18d0002558', '-1', 13, '84']
[122, 101, '0x1412a70', '0x7f18c8002748', 13, '85']
[123, 101, '0x7f18c8004460', '-1', 13, '73']
[124, 101, '0x7f18c8004468', '0x7f18c8002740', 13, '74']
[125, 101, '0x7f18c8004468', '-1', 13, '84']
[126, 101, '0x1412b60', '0x7f18c8002748', 13, '85']
[127, 101, '0x7f18d00025b0', '-1', 13, '73']
[128, 101, '0x7f18d00025b8', '0x7f18c8002740', 13, '74']
[129, 101, '0x7f18d00025b8', '-1', 13, '93']
[130, 101, '0x1412c80', '0x7f18d0002138', 13, '94']
[131, 101, '0x7f18c80044c0', '-1', 13, '73']
[132, 101, '0x7f18c80044c8', '0x7f18c8002740', 13, '74']
[133, 101, '0x7f18c80044c8', '-1', 13, '93']
[134, 101, '0x1412da0', '0x7f18d0002138', 13, '94']
[135, 101, '0x7f18c8004520', '-1', 13, '73']
[136, 101, '0x7f18c8004528', '0x7f18c8002740', 13, '74']
[137, 101, '0x7f18c8004528', '-1', 13, '84']
[138, 101, '0x1412c50', '0x7f18c8002748', 13, '85']
[139, 101, '0x7f18c8004580', '-1', 13, '73']
[140, 101, '0x7f18c8004588', '0x7f18c8002740', 13, '74']
[141, 101, '0x7f18c8004588', '-1', 13, '93']
[142, 101, '0x14129b0', '0x7f18d0002138', 13, '94']
[143, 101, '0x7f18c80045e0', '-1', 13, '73']
[144, 101, '0x7f18c80045e8', '0x7f18c8002740', 13, '74']
[145, 101, '0x7f18c80045e8', '-1', 13, '84']
[146, 101, '0x1412a40', '0x7f18c8002748', 13, '85']
[147, 101, '0x7f18c8004640', '-1', 13, '73']
[148, 101, '0x7f18c8004648', '0x7f18c8002740', 13, '74']
[149, 101, '0x7f18c8004648', '-1', 13, '93']
[150, 101, '0x1413010', '0x7f18d0002138', 13, '94']
[151, 101, '0x7f18d0002610', '-1', 13, '73']
[152, 101, '0x7f18d0002618', '0x7f18c8002740', 13, '74']
[153, 101, '0x7f18d0002618', '-1', 13, '84']
[154, 101, '0x1412bc0', '0x7f18c8002748', 13, '85']
[155, 101, '0x7f18d0002670', '-1', 13, '73']
[156, 101, '0x7f18d0002678', '0x7f18c8002740', 13, '74']
[157, 101, '0x7f18d0002678', '-1', 13, '93']
[158, 101, '0x1412b60', '0x7f18d0002138', 13, '94']
