Threads: [{'140487251404608': 0, '140487243007744': 1, '140487251400448': 2}]
['STORE', '0x714350', -1, 1, '546']
['FLUSH', '0x714350', -1, 1, '549']
['STORE', '0x714306', -1, 1, '564']
['STORE', '0x7143a8', -1, 2, '517']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['FLUSH', '0x714380', -1, 2, '538']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['FLUSH', '0x714340', -1, 2, '538']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714318', -1, 2, '555']
['STORE', '0x714318', -1, 2, '556']
['STORE', '0x714310', -1, 2, '557']
['FLUSH', '0x714310', -1, 2, '559']
['STORE', '0x714306', -1, 2, '564']
['STORE', '0x7143b8', -1, 2, '517']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['FLUSH', '0x714380', -1, 2, '538']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['FLUSH', '0x714340', -1, 2, '538']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714310', -1, 2, '526']
['STORE', '0x714328', -1, 2, '527']
['STORE', '0x714318', -1, 2, '555']
['STORE', '0x714318', -1, 2, '556']
['STORE', '0x714310', -1, 2, '557']
['FLUSH', '0x714310', -1, 2, '559']
['STORE', '0x714306', -1, 2, '564']
