Threads: [{'139694999286400': 0, '139694990878464': 1, '139694999271168': 2}]
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'isEmpty_175']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'extractMin_137']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'extractMin_141']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'extractMin_148']
['STORE', '0x1c7c120', '0x1c7c0ac', 2, 'extractMin_148']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'extractMin_149']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'extractMin_149']
['STORE', '0x1c7c144', '0x1c7c0ac', 2, 'extractMin_149']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'extractMin_149']
['STORE', '0x1c7c120', '0x1c7c0ac', 2, 'extractMin_149']
['STORE', '0x1c7c0ac', '0x1c7c120', 2, 'extractMin_150']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'heapify_186']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'heapify_186']
['STORE', '0x1c7c124', '0x1c7c0ac', 2, 'heapify_186']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'heapify_186']
['STORE', '0x1c7c120', '0x1c7c0ac', 2, 'heapify_186']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'heapify_189']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'heapify_189']
['STORE', '0x1c7c128', '0x1c7c0ac', 2, 'heapify_189']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'heapify_189']
['STORE', '0x1c7c124', '0x1c7c0ac', 2, 'heapify_189']
['STORE', '0x1c7c0a0', '0x1c7c0a0', 2, 'heapify_193']
['STORE', '0x1c7c120', '0x1c7c124', 2, 'heapify_193']
['STORE', '0x1c7c0a0', '0x1c7c0a0', 2, 'heapify_194']
['STORE', '0x1c7c124', '0x1c7c124', 2, 'heapify_194']
['STORE', '0x1c7c0a0', '0x1c7c0a0', 2, 'heapify_194']
['STORE', '0x1c7c120', -1, 2, 'heapify_194']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'heapify_195']
['STORE', '0x1c7c124', '0x1c7c120', 2, 'heapify_195']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'heapify_186']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'heapify_186']
['STORE', '0x1c7c12c', '0x1c7c0ac', 2, 'heapify_186']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'heapify_186']
['STORE', '0x1c7c124', '0x1c7c0ac', 2, 'heapify_186']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'heapify_189']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'heapify_189']
['STORE', '0x1c7c130', '0x1c7c0ac', 2, 'heapify_189']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'heapify_189']
['STORE', '0x1c7c12c', '0x1c7c0ac', 2, 'heapify_189']
['STORE', '0x1c7c0a0', '0x1c7c0a0', 2, 'heapify_193']
['STORE', '0x1c7c124', '0x1c7c124', 2, 'heapify_193']
['STORE', '0x1c7c0a0', '0x1c7c0a0', 2, 'heapify_194']
