Threads: [{'140352945166080': 0, '140352953558784': 1}]
['STORE', '0x7fa670002358', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700023b0', -1, 1, '107']
['STORE', '0x7fa6700023b8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002410', -1, 1, '107']
['STORE', '0x7fa670002418', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002470', -1, 1, '107']
['STORE', '0x7fa670002478', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700024d0', -1, 1, '107']
['STORE', '0x7fa6700024d8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002530', -1, 1, '107']
['STORE', '0x7fa670002538', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002590', -1, 1, '107']
['STORE', '0x7fa670002598', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700025f0', -1, 1, '107']
['STORE', '0x7fa6700025f8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002650', -1, 1, '107']
['STORE', '0x7fa670002658', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700026b0', -1, 1, '107']
['STORE', '0x7fa6700026b8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002710', -1, 1, '107']
['STORE', '0x7fa670002718', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002770', -1, 1, '107']
['STORE', '0x7fa670002778', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700027d0', -1, 1, '107']
['STORE', '0x7fa6700027d8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002830', -1, 1, '107']
['STORE', '0x7fa670002838', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002890', -1, 1, '107']
['STORE', '0x7fa670002898', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700028f0', -1, 1, '107']
['STORE', '0x7fa6700028f8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6680027d0', -1, 0, '107']
['STORE', '0x7fa6680027d8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002950', -1, 1, '107']
['STORE', '0x7fa670002958', '0x7fa668001ed0', 1, '108']
