Threads: [{'139933566956160': 0, '139933566940928': 1, '139933558548224': 2}]
['STORE', '0xd921f8', -1, 2, 'dll_insert_end_86']
['STORE', '0x7f44c4002d70', '0xd919e8', 2, 'dll_insert_end_87']
['STORE', '0x7f44c4002d68', -1, 1, 'dll_insert_end_86']
['STORE', '0x7f44cc003d70', '0xd919e8', 1, 'dll_insert_end_87']
['STORE', '0xd91ba0', -1, 2, 'dll_insert_start_102']
['STORE', '0xd919e8', '0xd91ba0', 2, 'dll_insert_start_103']
['STORE', '0xd919f0', -1, 1, 'dll_insert_start_102']
['STORE', '0xd91ad8', '0xd91ba0', 1, 'dll_insert_start_103']
['STORE', '0x7f44cc003d60', '0xd919e0', 2, 'dll_remove_end_119']
['STORE', '0x7f44cc003d70', '0xd91ae0', 2, 'dll_remove_end_121']
['STORE', '0x7f44c4002d68', '0xd919f0', 2, 'dll_remove_end_126']
['STORE', '0x7f44c4002d60', '0xd919e0', 1, 'dll_remove_end_119']
['STORE', '0x7f44c4002d70', '0xd91ae0', 1, 'dll_remove_end_121']
['STORE', '0xd921f8', '0xd919f0', 1, 'dll_remove_end_126']
['STORE', '0xd91ad0', '0xd919e0', 2, 'dll_remove_start_143']
['STORE', '0xd91ad8', '0x7f44c4002d68', 2, 'dll_remove_start_145']
['STORE', '0xd919f0', '0xd919e8', 2, 'dll_remove_start_150']
['STORE', '0xd921f8', -1, 2, 'dll_insert_end_86']
['STORE', '0xd91ae0', '0xd919e8', 2, 'dll_insert_end_87']
['STORE', '0xd919e0', '0xd919e0', 1, 'dll_remove_start_143']
['STORE', '0xd919e8', '0x7f44c4002d68', 1, 'dll_remove_start_145']
['STORE', '0xd91ba0', '0xd919e8', 1, 'dll_remove_start_150']
['STORE', '0xd91ba0', -1, 2, 'dll_insert_start_102']
['STORE', '0x7f44cc003d68', '0xd91ba0', 2, 'dll_insert_start_103']
['STORE', '0xd91ad8', -1, 1, 'dll_insert_end_86']
['STORE', '0xd919f0', '0xd919e8', 1, 'dll_insert_end_87']
['STORE', '0x7f44cc003d70', -1, 1, 'dll_insert_start_102']
['STORE', '0x7f44c4002d68', '0xd91ba0', 1, 'dll_insert_start_103']
['STORE', '0xd919e0', '0xd919e0', 2, 'dll_remove_end_119']
