Threads: [{'139844791846656': 0, '139844800239360': 1, '139844800254592': 2}]
['STORE', '0x7f3018003a90', -1, 0, 'insert_112']
['STORE', '0x7f3018003a94', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003a98', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020001f70', -1, 1, 'insert_112']
['STORE', '0x7f3020001f74', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020001f78', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003af0', -1, 0, 'insert_112']
['STORE', '0x7f3018003af4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003af8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020001fd0', -1, 1, 'insert_112']
['STORE', '0x7f3020001fd4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020001fd8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003b50', -1, 0, 'insert_112']
['STORE', '0x7f3018003b54', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003b58', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002030', -1, 1, 'insert_112']
['STORE', '0x7f3020002034', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002038', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003bb0', -1, 0, 'insert_112']
['STORE', '0x7f3018003bb4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003bb8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002090', -1, 1, 'insert_112']
['STORE', '0x7f3020002094', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002098', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003c10', -1, 0, 'insert_112']
['STORE', '0x7f3018003c14', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003c18', '0x7f30180022d4', 0, 'insert_114']
