Threads: [{'140416676828928': 0, '140416668436224': 1}]
['STORE', '0x7fb540002278', -1, 0, '29']
['STORE', '0x7fb5400022d0', -1, 1, '21']
['STORE', '0x7fb5400022d8', '0x7fb548001f60', 1, '22']
['STORE', '0x7fb548002a38', -1, 1, '29']
['STORE', '0x7fb548002a90', -1, 0, '21']
['STORE', '0x7fb548002a98', '0x7fb548001f60', 0, '22']
['STORE', '0x7fb5400022d8', -1, 0, '29']
['STORE', '0x7fb540002330', -1, 1, '21']
['STORE', '0x7fb540002338', '0x7fb548001f60', 1, '22']
['STORE', '0x7fb548002a98', -1, 1, '29']
['STORE', '0x7fb548002af0', -1, 0, '21']
['STORE', '0x7fb548002af8', '0x7fb548001f60', 0, '22']
['STORE', '0x7fb540002338', -1, 0, '29']
['STORE', '0x7fb540002390', -1, 1, '21']
['STORE', '0x7fb540002398', '0x7fb548001f60', 1, '22']
['STORE', '0x7fb548002af8', -1, 1, '29']
['STORE', '0x7fb548002b50', -1, 0, '21']
['STORE', '0x7fb548002b58', '0x7fb548001f60', 0, '22']
['STORE', '0x7fb540002398', -1, 0, '29']
['STORE', '0x7fb5400023f0', -1, 1, '21']
['STORE', '0x7fb5400023f8', '0x7fb548001f60', 1, '22']
['STORE', '0x7fb548002b58', -1, 1, '29']
['STORE', '0x7fb548002bb0', -1, 0, '21']
['STORE', '0x7fb548002bb8', '0x7fb548001f60', 0, '22']
['STORE', '0x7fb5400023f8', -1, 0, '29']
['STORE', '0x7fb540002450', -1, 1, '21']
['STORE', '0x7fb540002458', '0x7fb548001f60', 1, '22']
['STORE', '0x7fb548002bb8', -1, 1, '29']
['STORE', '0x7fb5400024b0', -1, 1, '21']
['STORE', '0x7fb5400024b8', '0x7fb548001f60', 1, '22']
['STORE', '0x7fb540002458', -1, 1, '29']
['STORE', '0x7fb548002c10', -1, 0, '21']
['STORE', '0x7fb548002c18', '0x7fb548001f60', 0, '22']
['STORE', '0x7fb5400024b8', -1, 0, '29']
['STORE', '0x7fb548002c70', -1, 0, '21']
['STORE', '0x7fb548002c78', '0x7fb548001f60', 0, '22']
['STORE', '0x7fb548002c18', -1, 0, '29']
['STORE', '0x7fb540002510', -1, 1, '21']
['STORE', '0x7fb540002518', '0x7fb548001f60', 1, '22']
