Threads: [{'140036350947968': 0, '140036342540032': 1, '140036350932736': 2}]
['STORE', '0xbd4ad8', '0x7f5cb0005218', 1, 'deque_pop_front_121']
['STORE', '0x7f5cb0005220', -1, 1, 'deque_pop_front_126']
['STORE', '0xbd49e0', '0xbd49e0', 2, 'deque_pop_back_143']
['STORE', '0xbd49f0', '0xbd4ae0', 2, 'deque_pop_back_145']
['STORE', '0xbd4e38', -1, 2, 'deque_pop_back_150']
['STORE', '0xbd4ae0', -1, 1, 'deque_push_back_102']
['STORE', '0xbd4e38', -1, 1, 'deque_push_back_103']
['STORE', '0x7f5cb80018b8', -1, 1, 'deque_push_front_86']
['STORE', '0x7f5cb0005220', -1, 1, 'deque_push_front_87']
['STORE', '0xbd4ad0', '0xbd49e0', 1, 'deque_pop_back_143']
['STORE', '0xbd4ae0', '0xbd4ae0', 1, 'deque_pop_back_145']
['STORE', '0xbd4e38', -1, 1, 'deque_pop_back_150']
['STORE', '0x7f5cb80018b0', '0xbd49e0', 0, 'deque_print_195']
['STORE', '0x7f5cb80018b8', '0xbd49e8', 0, 'deque_print_196']
['STORE', '0x7f5cb0005210', '0xbd49e0', 0, 'deque_print_195']
['STORE', '0x7f5cb0005218', '0xbd49e8', 0, 'deque_print_196']
['STORE', '0xbd4b90', '0xbd49e0', 0, 'deque_print_195']
['STORE', '0xbd4b98', '0xbd49e8', 0, 'deque_print_196']
['STORE', '0xbd4bf0', '0xbd49e0', 0, 'deque_print_195']
['STORE', '0xbd4bf8', '0xbd49e8', 0, 'deque_print_196']
['STORE', '0xbd4c50', '0xbd49e0', 0, 'deque_print_195']
['STORE', '0xbd4c58', '0xbd49e8', 0, 'deque_print_196']
['STORE', '0xbd4cb0', '0xbd49e0', 0, 'deque_print_195']
['STORE', '0xbd4cb8', '0xbd49e8', 0, 'deque_print_196']
['STORE', '0xbd4d10', '0xbd49e0', 0, 'deque_print_195']
['STORE', '0xbd4d18', '0xbd49e8', 0, 'deque_print_196']
['STORE', '0xbd4d70', '0xbd49e0', 0, 'deque_print_195']
['STORE', '0xbd4d78', '0xbd49e8', 0, 'deque_print_196']
['STORE', '0xbd4dd0', '0xbd49e0', 0, 'deque_print_195']
['STORE', '0xbd4dd8', '0xbd49e8', 0, 'deque_print_196']
['STORE', '0xbd4e30', '0xbd49e0', 0, 'deque_print_195']
['STORE', '0xbd4e38', '0xbd49e8', 0, 'deque_print_196']
['STORE', '0x7f5cb80018b8', '0xbd49e8', 0, 'deque_clear_173']
['STORE', '0x7f5cb0005218', '0xbd49e8', 0, 'deque_clear_173']
['STORE', '0xbd4b98', '0xbd49e8', 0, 'deque_clear_173']
['STORE', '0xbd4bf8', '0xbd49e8', 0, 'deque_clear_173']
['STORE', '0xbd4c58', '0xbd49e8', 0, 'deque_clear_173']
['STORE', '0xbd4cb8', '0xbd49e8', 0, 'deque_clear_173']
['STORE', '0xbd4d18', '0xbd49e8', 0, 'deque_clear_173']
['STORE', '0xbd4d78', '0xbd49e8', 0, 'deque_clear_173']
['STORE', '0xbd4dd8', '0xbd49e8', 0, 'deque_clear_173']
['STORE', '0xbd4e38', '0xbd49e8', 0, 'deque_clear_173']
