Threads: [{'140241468000320': 0, '140241436673792': 1, '140241428281088': 2, '140105943586560': 3}]
['STORE', '0x7f8a80401520', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a80401530', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401510', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401518', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a80401528', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a80401520', '0x7f8a80401528', 0, 'insert_key_559']
['STORE', '0x7f8a80401528', '0x7f8a80401520', 0, 'insert_key_560']
['FLUSH', '0x7f8a80401520', -1, 0, 'insert_key_563']
['FENCE', 0, -1, 0, 'insert_key_563']
['STORE', '0x7f8a804014ee', -1, 0, 'insert_key_579']
['STORE', '0x7f8a804014ec', '0x7f8a804014ec', 0, 'insert_key_513']
['STORE', '0x7f8a80401598', '0x7f8a80401528', 0, 'insert_key_530']
['STORE', '0x7f8a804015a8', -1, 0, 'insert_key_530']
['STORE', '0x7f8a80401580', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401588', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a80401598', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a80401590', '0x7f8a80401528', 0, 'insert_key_559']
['STORE', '0x7f8a80401598', '0x7f8a80401520', 0, 'insert_key_560']
['FLUSH', '0x7f8a80401590', -1, 0, 'insert_key_563']
['FENCE', 0, -1, 0, 'insert_key_563']
['STORE', '0x7f8a804014ee', -1, 0, 'insert_key_579']
['STORE', '0x7f8a804014ec', '0x7f8a804014ec', 0, 'insert_key_513']
['STORE', '0x7f8a804015a8', '0x7f8a80401528', 0, 'insert_key_530']
['STORE', '0x7f8a804015b8', -1, 0, 'insert_key_530']
['STORE', '0x7f8a80401590', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401598', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015a8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401590', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a804015a0', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401580', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401588', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401598', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401580', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a80401590', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401570', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401578', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a80401588', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a80401580', '0x7f8a80401528', 0, 'insert_key_559']
['STORE', '0x7f8a80401588', '0x7f8a80401520', 0, 'insert_key_560']
['FLUSH', '0x7f8a80401580', -1, 0, 'insert_key_563']
['FENCE', 0, -1, 0, 'insert_key_563']
['STORE', '0x7f8a804014ee', -1, 0, 'insert_key_579']
['STORE', '0x7f8a804014ec', '0x7f8a804014ec', 0, 'insert_key_513']
['STORE', '0x7f8a804015b8', '0x7f8a80401528', 0, 'insert_key_530']
['STORE', '0x7f8a804015c8', -1, 0, 'insert_key_530']
['FLUSH', '0x7f8a804015c8', -1, 0, 'insert_key_534']
['FENCE', 0, -1, 0, 'insert_key_534']
['STORE', '0x7f8a804015a0', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a804015a8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015b8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015a0', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a804015b0', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401590', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401598', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015a8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401590', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a804015a0', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401580', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401588', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401598', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401580', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a80401590', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401570', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401578', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401588', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401570', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a80401580', '0x7f8a80401518', 0, 'insert_key_541']
['FLUSH', '0x7f8a80401580', -1, 0, 'insert_key_552']
['FENCE', 0, -1, 0, 'insert_key_552']
['STORE', '0x7f8a80401560', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401568', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401578', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401560', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a80401570', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401550', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401558', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401568', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401550', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a80401560', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401540', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401548', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a80401558', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a80401550', '0x7f8a80401528', 0, 'insert_key_559']
['STORE', '0x7f8a80401558', '0x7f8a80401520', 0, 'insert_key_560']
['FLUSH', '0x7f8a80401550', -1, 0, 'insert_key_563']
['FENCE', 0, -1, 0, 'insert_key_563']
['STORE', '0x7f8a804014ee', -1, 0, 'insert_key_579']
['STORE', '0x7f8a804014ec', '0x7f8a804014ec', 0, 'insert_key_513']
['STORE', '0x7f8a804015c8', '0x7f8a80401528', 0, 'insert_key_530']
['STORE', '0x7f8a804015d8', -1, 0, 'insert_key_530']
['STORE', '0x7f8a804015b0', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a804015b8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015c8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015b0', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a804015c0', '0x7f8a80401518', 0, 'insert_key_541']
['FLUSH', '0x7f8a804015c0', -1, 0, 'insert_key_552']
['FENCE', 0, -1, 0, 'insert_key_552']
['STORE', '0x7f8a804015a0', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a804015a8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015b8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015a0', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a804015b0', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401590', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401598', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015a8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401590', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a804015a0', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401580', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401588', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401598', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a80401580', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a80401590', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a80401570', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a80401578', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a80401588', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a80401580', '0x7f8a80401528', 0, 'insert_key_559']
['STORE', '0x7f8a80401588', '0x7f8a80401520', 0, 'insert_key_560']
['FLUSH', '0x7f8a80401580', -1, 0, 'insert_key_563']
['FENCE', 0, -1, 0, 'insert_key_563']
['STORE', '0x7f8a804014ee', -1, 0, 'insert_key_579']
['STORE', '0x7f8a804014ec', '0x7f8a804014ec', 0, 'insert_key_513']
['STORE', '0x7f8a804015d8', '0x7f8a80401528', 0, 'insert_key_530']
['STORE', '0x7f8a804015e8', -1, 0, 'insert_key_530']
['STORE', '0x7f8a804015c0', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a804015c8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015d8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015c0', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a804015d0', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a804015b0', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a804015b8', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a804015c8', '0x7f8a80401500', 0, 'insert_key_558']
['STORE', '0x7f8a804015c0', '0x7f8a80401528', 0, 'insert_key_559']
['STORE', '0x7f8a804015c8', '0x7f8a80401520', 0, 'insert_key_560']
['FLUSH', '0x7f8a804015c0', -1, 0, 'insert_key_563']
['FENCE', 0, -1, 0, 'insert_key_563']
['STORE', '0x7f8a804014ee', -1, 0, 'insert_key_579']
