Threads: [{'139633224864384': 0, '139633224849152': 1, '139633216456448': 2}]
[101, "'0x7efed4000ec8'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efed4000ec8'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa1214'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000ec8'", "'0xfa1214'", 2, 'pq_insert_104']
[101, "'0x7efed4000fe8'", "'0xfa1214'", 2, 'pq_insert_104']
[101, "'0x7efed4000ec8'", "'0xfa23d8'", 2, 'pq_insert_105']
[101, "'0x7efedc0017a4'", "'0xfa1214'", 1, 'pq_insert_95']
[101, "'0x7efedc0017a8'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efedc0017a8'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000f24'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efedc0017a8'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0x7efed4000f28'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efed4000f28'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efedc0016e4'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000f28'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0x7efedc0016e8'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efedc0016e8'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efedc001744'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efedc0016e8'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0x7efedc001748'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efedc001748'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efedc0015c4'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efedc001748'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000e04'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0x7efed4000e08'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efed4000e08'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0xfa2344'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000e08'", "'0xfa1214'", 1, 'pq_insert_104']
[101, "'0x7efedc001808'", "'0xfa1214'", 1, 'pq_insert_104']
[101, "'0x7efed4000e08'", "'0xfa23d8'", 1, 'pq_insert_105']
[101, "'0x7efedc0017a4'", "'0xfa1214'", 2, 'pq_insert_95']
[101, "'0x7efedc0017a8'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc0017a8'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000f24'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc0017a8'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efed4000f28'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efed4000f28'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc0016e4'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000f28'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efedc0016e8'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc0016e8'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc001744'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc0016e8'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efedc001748'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc001748'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c4'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc001748'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000e04'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efed4000e08'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efed4000e08'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc001804'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000e08'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efedc001808'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc001808'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa2344'", "'0xfa2348'", 2, 'pq_insert_101']
