[2, 101, '0x1dc3480', '-1', 0, '117']
[3, 102, '0x1dc3480', '-1', 0, '117_x']
[4, 101, '0x1dc3484', '-1', 1, '117']
[5, 101, '0x1dc3488', '-1', 0, '117']
[6, 103, '0', '-1', 0, '117_x']
[7, 101, '0x1dc348c', '-1', 1, '117']
[8, 101, '0x1dc3490', '-1', 2, '117']
[9, 101, '0x1dc3494', '-1', 3, '117']
[10, 101, '0x1dc3498', '-1', 2, '117']
[11, 101, '0x1dc349c', '-1', 3, '117']
