Threads: [{'140241770518272': 0, '140241762125568': 1}]
['STORE', '0x7f8c84001550', -1, 1, '21']
['STORE', '0x7f8c84001558', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c8c0038a8', -1, 1, '29']
['STORE', '0x7f8c8c003900', -1, 0, '21']
['STORE', '0x7f8c8c003908', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c84001558', -1, 0, '29']
['STORE', '0x7f8c8c003960', -1, 0, '21']
['STORE', '0x7f8c8c003968', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c8c003908', -1, 0, '29']
['STORE', '0x7f8c840015b0', -1, 1, '21']
['STORE', '0x7f8c840015b8', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c8c003968', -1, 1, '29']
['STORE', '0x7f8c8c0039c0', -1, 0, '21']
['STORE', '0x7f8c8c0039c8', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c840015b8', -1, 0, '29']
['STORE', '0x7f8c84001610', -1, 1, '21']
['STORE', '0x7f8c84001618', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c8c0039c8', -1, 1, '29']
['STORE', '0x7f8c8c003a20', -1, 0, '21']
['STORE', '0x7f8c8c003a28', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c84001618', -1, 0, '29']
['STORE', '0x7f8c84001670', -1, 1, '21']
['STORE', '0x7f8c84001678', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c8c003a28', -1, 1, '29']
['STORE', '0x7f8c8c003a80', -1, 0, '21']
['STORE', '0x7f8c8c003a88', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c84001678', -1, 0, '29']
['STORE', '0x7f8c8c003ae0', -1, 0, '21']
['STORE', '0x7f8c8c003ae8', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c8c003a88', -1, 0, '29']
['STORE', '0x7f8c8c003b40', -1, 0, '21']
['STORE', '0x7f8c8c003b48', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c8c003ae8', -1, 0, '29']
['STORE', '0x7f8c8c003ba0', -1, 0, '21']
['STORE', '0x7f8c8c003ba8', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c8c003b48', -1, 0, '29']
['STORE', '0x7f8c8c003c00', -1, 0, '21']
['STORE', '0x7f8c8c003c08', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c8c003ba8', -1, 0, '29']
['STORE', '0x7f8c8c0034e0', -1, 0, '21']
['STORE', '0x7f8c8c0034e8', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c8c003c08', -1, 0, '29']
['STORE', '0x7f8c8c003540', -1, 0, '21']
['STORE', '0x7f8c8c003548', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c8c0034e8', -1, 0, '29']
