FUNC_BEGIN_1: main 1; <Thread ID:140223502665536>
FUNC_BEGIN_1: createSkipList 1; <Thread ID:140223502665536>
Adding addr: 0x2066280 to 0x20662b8; <Thread ID:140223502665536>
Store: 0x2066280 Size: 4 ID: 53 @Ln,Col: 90,21 Scope: createSkipList; <Thread ID:140223502665536>
FUNC_BEGIN_1: createNode 1; <Thread ID:140223502665536>
Adding addr: 0x20671e0 to 0x20671f0; <Thread ID:140223502665536>
Store: 0x20671e0 Size: 4 ID: 15 @Ln,Col: 79,15 Scope: createNode; <Thread ID:140223502665536>
Adding addr: 0x2067270 to 0x20672a8; <Thread ID:140223502665536>
Store: 0x20671e8 Size: 8 ID: 24 @Ln,Col: 80,19 Scope: createNode; <Thread ID:140223502665536>
Load: 0x20671e8 Size: 8 ID: 34 @Ln,Col: 82,15 Scope: createNode; <Thread ID:140223502665536>
Store: 0x2067270 Size: 8 ID: 38 @Ln,Col: 82,26 Scope: createNode; <Thread ID:140223502665536>
Load: 0x20671e8 Size: 8 ID: 34 @Ln,Col: 82,15 Scope: createNode; <Thread ID:140223502665536>
Store: 0x2067278 Size: 8 ID: 38 @Ln,Col: 82,26 Scope: createNode; <Thread ID:140223502665536>
Load: 0x20671e8 Size: 8 ID: 34 @Ln,Col: 82,15 Scope: createNode; <Thread ID:140223502665536>
Store: 0x2067280 Size: 8 ID: 38 @Ln,Col: 82,26 Scope: createNode; <Thread ID:140223502665536>
Load: 0x20671e8 Size: 8 ID: 34 @Ln,Col: 82,15 Scope: createNode; <Thread ID:140223502665536>
Store: 0x2067288 Size: 8 ID: 38 @Ln,Col: 82,26 Scope: createNode; <Thread ID:140223502665536>
Load: 0x20671e8 Size: 8 ID: 34 @Ln,Col: 82,15 Scope: createNode; <Thread ID:140223502665536>
Store: 0x2067290 Size: 8 ID: 38 @Ln,Col: 82,26 Scope: createNode; <Thread ID:140223502665536>
Load: 0x20671e8 Size: 8 ID: 34 @Ln,Col: 82,15 Scope: createNode; <Thread ID:140223502665536>
